,Місто,Регіон
130,Дубляни,Львівська область
131,Дубно,Рівненська область
132,Дубровиця,Рівненська область
133,Дунаївці,Хмельницька область
134,Енергодар,Запорізька область
135,Євпаторія,Крим
136,Єнакієве,Донецька область
137,Жашків,Черкаська область
138,Жданівка,Донецька область
139,Жидачів,Львівська область
140,Житомир,Житомирська область
141,Жмеринка,Вінницька область
142,Жовква,Львівська область
143,Жовті Води,Дніпропетровська область
144,Заводське,Полтавська область
145,Залізне,Донецька область
146,Заліщики,Тернопільська область
147,Запоріжжя,Запорізька область
148,Заставна,Чернівецька область
149,Збараж,Тернопільська область
150,Зборів,Тернопільська область
151,Звенигородка,Черкаська область
152,Звягель,Житомирська область
153,Здолбунів,Рівненська область
154,Зеленодольськ,Дніпропетровська область
155,Зимогір'я,Луганська область
156,Зіньків,Полтавська область
157,Зміїв,Харківська область
158,Знам'янка,Кіровоградська область
159,Золоте,Луганська область
160,Золотоноша,Черкаська область
161,Золочів,Львівська область
162,Зоринськ,Луганська область
163,Зугрес,Донецька область
164,Івано-Франківськ,Івано-Франківська область
165,Ізмаїл,Одеська область
166,Ізюм,Харківська область
167,Ізяслав,Хмельницька область
168,Іллінці,Вінницька область
169,Іловайськ,Донецька область
170,Інкерман,Крим
171,Ірміно,Луганська область
172,Ірпінь,Київська область
173,Іршава,Закарпатська область
174,Ічня,Чернігівська область
175,Кагарлик,Київська область
176,Кадіївка,Луганська область
177,Калинівка,Вінницька область
178,Калуш,Івано-Франківська область
179,Кальміуське,Донецька область
180,Камінь-Каширський,Волинська область
181,Кам'янець-Подільський,Хмельницька область
182,Кам'янка,Черкаська область
183,Кам'янка-Бузька,Львівська область
184,Кам'янка-Дніпровська,Запорізька область
185,Кам'янське,Дніпропетровська область
186,Канів,Черкаська область
187,Карлівка,Полтавська область
188,Каховка,Херсонська область
189,Керч,Крим
190,Київ,"Київ, міськрада"
191,Кипуче,Луганська область
192,Ківерці,Волинська область
193,Кілія,Одеська область
194,Кіцмань,Чернівецька область
195,Кобеляки,Полтавська область
196,Ковель,Волинська область
197,Кодима,Одеська область
198,Козятин,Вінницька область
199,Коломия,Івано-Франківська область
200,Комарно,Львівська область
201,Конотоп,Сумська область
202,Копичинці,Тернопільська область
203,Корець,Рівненська область
204,Коростень,Житомирська область
205,Коростишів,Житомирська область
206,Корсунь-Шевченківський,Черкаська область
207,Корюківка,Чернігівська область
208,Косів,Івано-Франківська область
209,Костопіль,Рівненська область
210,Костянтинівка,Донецька область
211,Краматорськ,Донецька область
212,Красилів,Хмельницька область
213,Красногорівка,Донецька область
214,Красноград,Харківська область
215,Кременець,Тернопільська область
216,Кременчук,Полтавська область
217,Кремінна,Луганська область
218,Кривий Ріг,Дніпропетровська область
219,Кролевець,Сумська область
220,Кропивницький,Кіровоградська область
221,Куп'янськ,Харківська область
222,Курахове,Донецька область
223,Ладижин,Вінницька область
224,Ланівці,Тернопільська область
225,Лебедин,Сумська область
226,Лиман,Донецька область
227,Липовець,Вінницька область
228,Лисичанськ,Луганська область
229,Лозова,Харківська область
230,Лохвиця,Полтавська область
231,Лубни,Полтавська область
232,Луганськ,Луганська область
233,Лутугине,Луганська область
234,Луцьк,Волинська область
235,Львів,Львівська область
236,Любомль,Волинська область
237,Люботин,Харківська область
238,Макіївка,Донецька область
239,Мала Виска,Кіровоградська область
240,Малин,Житомирська область
241,Марганець,Дніпропетровська область
242,Маріуполь,Донецька область
243,Мар'їнка,Донецька область
244,Мелітополь,Запорізька область
245,Мена,Чернігівська область
246,Мерефа,Харківська область
247,Миколаїв,Львівська область
248,Миколаїв,Миколаївська область
249,Миколаївка,Донецька область
250,Миргород,Полтавська область
251,Мирноград,Донецька область
252,Миронівка,Київська область
253,Міусинськ,Луганська область
254,Могилів-Подільський,Вінницька область
255,Молодогвардійськ,Луганська область
256,Молочанськ,Запорізька область
257,Монастириська,Тернопільська область
258,Монастирище,Черкаська область
259,Моршин,Львівська область
260,Моспине,Донецька область
261,Мостиська,Львівська область
262,Мукачево,Закарпатська область
263,Надвірна,Івано-Франківська область
264,Немирів,Вінницька область
265,Нетішин,Хмельницька область
266,Ніжин,Чернігівська область
267,Нікополь,Дніпропетровська область
268,Нова Каховка,Херсонська область
269,Нова Одеса,Миколаївська область
270,Новгород-Сіверський,Чернігівська область
271,Новий Буг,Миколаївська область
272,Новий Калинів,Львівська область
273,Новий Розділ,Львівська область
274,Новоазовськ,Донецька область
275,Нововолинськ,Волинська область
276,Новогродівка,Донецька область
277,Новодністровськ,Чернівецька область
278,Новодружеськ,Луганська область
279,Новомиргород,Кіровоградська область
280,Новомосковськ,Дніпропетровська область
281,Новоселиця,Чернівецька область
282,Новоукраїнка,Кіровоградська область
283,Новояворівськ,Львівська область
284,Носівка,Чернігівська область
285,Обухів,Київська область
286,Овруч,Житомирська область
287,Одеса,Одеська область
288,Олевськ,Житомирська область
289,Олександрівськ,Луганська область
290,Олександрія,Кіровоградська область
291,Олешки,Херсонська область
292,Оріхів,Запорізька область
293,Остер,Чернігівська область
294,Острог,Рівненська область
295,Охтирка,Сумська область
296,Очаків,Миколаївська область
297,Павлоград,Дніпропетровська область
298,Первомайськ,Луганська область
299,Первомайськ,Миколаївська область
300,Первомайський,Харківська область
301,Перевальськ,Луганська область
302,Перемишляни,Львівська область
303,Перечин,Закарпатська область
304,Перещепине,Дніпропетровська область
305,Переяслав,Київська область
306,Першотравенськ,Дніпропетровська область
307,Петрово-Красносілля,Луганська область
308,Пирятин,Полтавська область
309,Південне,Харківська область
310,Підгайці,Тернопільська область
311,Підгородне,Дніпропетровська область
312,Погребище,Вінницька область
313,Подільськ,Одеська область
314,Покров,Дніпропетровська область
315,Покровськ,Донецька область
316,Пологи,Запорізька область
317,Полонне,Хмельницька область
318,Полтава,Полтавська область
319,Помічна,Кіровоградська область
320,Попасна,Луганська область
321,Почаїв,Тернопільська область
322,Привілля,Луганська область
323,Прилуки,Чернігівська область
324,Приморськ,Запорізька область
325,Прип'ять,Київська область
326,Пустомити,Львівська область
327,Путивль,Сумська область
328,П'ятихатки,Дніпропетровська область
329,Рава-Руська,Львівська область
330,Радехів,Львівська область
331,Радивилів,Рівненська область
332,Радомишль,Житомирська область
333,Рахів,Закарпатська область
334,Рені,Одеська область
335,Решетилівка,Полтавська область
336,Ржищів,Київська область
337,Рівне,Рівненська область
338,Ровеньки,Луганська область
339,Рогатин,Івано-Франківська область
340,Родинське,Донецька область
341,Рожище,Волинська область
342,Роздільна,Одеська область
343,Ромни,Сумська область
344,Рубіжне,Луганська область
345,Рудки,Львівська область
346,Саки,Крим
347,Самбір,Львівська область
348,Сарни,Рівненська область
349,Свалява,Закарпатська область
350,Сватове,Луганська область
351,Світловодськ,Кіровоградська область
352,Світлодарськ,Донецька область
353,Святогірськ,Донецька область
354,Севастополь,"Севастополь, міськрада"
355,Селидове,Донецька область
356,Семенівка,Чернігівська область
357,Середина-Буда,Сумська область
358,Сєвєродонецьк,Луганська область
359,Синельникове,Дніпропетровська область
360,Сіверськ,Донецька область
361,Сімферополь,Крим
362,Скадовськ,Херсонська область
363,Скалат,Тернопільська область
364,Сквира,Київська область
365,Сколе,Львівська область
366,Славута,Хмельницька область
367,Славутич,Київська область
368,Слов'янськ,Донецька область
369,Сміла,Черкаська область
370,Снігурівка,Миколаївська область
371,Сніжне,Донецька область
372,Сновськ,Чернігівська область
373,Снятин,Івано-Франківська область
374,Сокаль,Львівська область
375,Сокиряни,Чернівецька область
376,Соледар,Донецька область
377,Сорокине,Луганська область
378,Соснівка,Львівська область
379,Старий Крим,Крим
380,Старий Самбір,Львівська область
381,Старобільськ,Луганська область
382,Старокостянтинів,Хмельницька область
383,Стебник,Львівська область
384,Сторожинець,Чернівецька область
385,Стрий,Львівська область
386,Судак,Крим
387,Судова Вишня,Львівська область
388,Суми,Сумська область
389,Суходільськ,Луганська область
390,Таврійськ,Херсонська область
391,Тальне,Черкаська область
392,Тараща,Київська область
393,Татарбунари,Одеська область
394,Теплодар,Одеська область
395,Теребовля,Тернопільська область
396,Тернівка,Дніпропетровська область
397,Тернопіль,Тернопільська область
398,Тетіїв,Київська область
399,Тисмениця,Івано-Франківська область
400,Тлумач,Івано-Франківська область
401,Токмак,Запорізька область
402,Торецьк,Донецька область
403,Тростянець,Сумська область
404,Трускавець,Львівська область
405,Тульчин,Вінницька область
406,Турка,Львівська область
407,Тячів,Закарпатська область
408,Угнів,Львівська область
409,Ужгород,Закарпатська область
410,Узин,Київська область
411,Українка,Київська область
412,Українськ,Донецька область
413,Умань,Черкаська область
414,Устилуг,Волинська область
415,Фастів,Київська область
416,Феодосія,Крим
417,Харків,Харківська область
418,Харцизьк,Донецька область
419,Херсон,Херсонська область
420,Хирів,Львівська область
421,Хмельницький,Хмельницька область
422,Хмільник,Вінницька область
423,Ходорів,Львівська область
424,Хорол,Полтавська область
425,Хоростків,Тернопільська область
426,Хотин,Чернівецька область
427,Хрестівка,Донецька область
428,Христинівка,Черкаська область
429,Хрустальний,Луганська область
430,Хуст,Закарпатська область
431,Часів Яр,Донецька область
432,Червоноград,Львівська область
433,Черкаси,Черкаська область
434,Чернівці,Чернівецька область
435,Чернігів,Чернігівська область
436,Чигирин,Черкаська область
437,Чистякове,Донецька область
438,Чоп,Закарпатська область
439,Чорнобиль,Київська область
440,Чорноморськ,Одеська область
441,Чортків,Тернопільська область
442,Чугуїв,Харківська область
443,Чуднів,Житомирська область
444,Шаргород,Вінницька область
445,Шахтарськ,Донецька область
446,Шепетівка,Хмельницька область
447,Шостка,Сумська область
448,Шпола,Черкаська область
449,Шумськ,Тернопільська область
450,Щастя,Луганська область
451,Щолкіне,Крим
452,Южне,Одеська область
453,Южноукраїнськ,Миколаївська область
454,Яворів,Львівська область
455,Яготин,Київська область
456,Ялта,Крим
457,Ямпіль,Вінницька область
458,Яремче,Івано-Франківська область
459,Яни Капу,Крим
460,Ясинувата,Донецька область
